ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,funding_entity,impressions_min,spend_min,spend_max,ad_url,currency
218466619917899,1550088745275913,DENK,"DENK is voor het herstellen van de basisbeurs van studenten! 
Stem DENK 15, 16 en 17 maart 2021.",www.bewegingdenk.nl,,Een basisbeurs voor elke student!,2021-01-22,2021-01-28,DENK,0,0,99,https://www.facebook.com/ads/library/?id=218466619917899,EUR
872126993624982,1550088745275913,DENK,"Ook in Nederland is er armoede onder kinderen, dit hoort niet thuis in een land als Nederland! 
Stem DENK op 15, 16 en 17 maart 2021.",bewegingdenk.nl,"KinderarmoedeSteun DENK Kinderarmoede   Schrijnende verhalen van kinderarmoede zijn bij iedereen bekend: kinderen die zonder ontbijt naar school moeten, kinderen die geen spullen hebben om mee te doen met sporten of kinderen die letterlijk in de kou staan omdat ze geen winterjas hebben. DENK vindt ...",Wij strijden tegen armoede onder kinderen!,2021-01-22,2021-01-28,DENK,10000,0,99,https://www.facebook.com/ads/library/?id=872126993624982,EUR
2832764090384850,1550088745275913,DENK,"Ook in Nederland is er armoede onder kinderen, dit hoort niet thuis in een land als Nederland! 
Stem DENK op 15, 16 en 17 maart 2021.",www.bewegingdenk.nl,,Wij strijden tegen armoede onder kinderen!,2021-01-22,2021-01-28,DENK,5000,0,99,https://www.facebook.com/ads/library/?id=2832764090384850,EUR
905735420229454,1550088745275913,DENK,"DENK wil af van de belachelijk hoge prijzen in het openbaar vervoer!
Stem DENK op 15, 16 en 17 maart 2021.",bewegingdenk.nl,"Goedkoper openbaar vervoerSteun DENK Goedkoper openbaar vervoer De prijzen voor het openbaar vervoer zijn in de afgelopen tijd enorm gestegen. Terwijl het juist van belang is dat mensen vaker het openbaar vervoer nemen, in plaats van de auto. Daarnaast is een betaalbaar openbaar vervoer van belang...",Het OV moet weer betaalbaar worden voor iedereen!,2021-01-22,2021-01-28,DENK,10000,0,99,https://www.facebook.com/ads/library/?id=905735420229454,EUR
398367314589348,1550088745275913,DENK,"DENK wil af van de belachelijk hoge prijzen in het openbaar vervoer!
Stem DENK op 15, 16 en 17 maart 2021",www.bewegingdenk.nl,,Het OV moet weer betaalbaar worden voor iedereen!,2021-01-22,2021-01-28,DENK,1000,0,99,https://www.facebook.com/ads/library/?id=398367314589348,EUR
185239530012732,288295911466,Greenpeace Nederland,We zitten bijna op 80.000 handtekeningen voor een duurzaam klimaatbeleid. Nog 5.000 te gaan! Roep de overheid op om tot actie over te gaan. Het is nu of nooit!,steun.greenpeace.nl,,Jouw stem telt! Teken nu de petitie ✍️,2021-01-22,2021-03-01,Greenpeace Nederland,2000,0,99,https://www.facebook.com/ads/library/?id=185239530012732,EUR
243865497307650,288295911466,Greenpeace Nederland,We zitten bijna op 80.000 handtekeningen voor een duurzaam klimaatbeleid. Nog 5.000 te gaan! Roep de overheid op om tot actie over te gaan. Het is nu of nooit!,steun.greenpeace.nl,Ik roep de overheid op om crisismaatregelen te nemen. Het moet en kán anders. Pak de oorzaak van extreem weer aan en ga voor duurzaamheid. Het is nu of nooit.,Jouw stem telt! Teken nu de petitie ✍️,2021-01-22,2021-03-01,Greenpeace Nederland,2000,0,99,https://www.facebook.com/ads/library/?id=243865497307650,EUR
125962489372268,288295911466,Greenpeace Nederland,We zitten bijna op 80.000 handtekeningen voor een duurzaam klimaatbeleid. Nog 5.000 te gaan! Roep de overheid op om tot actie over te gaan. Het is nu of nooit!,steun.greenpeace.nl,,Jouw stem telt! Teken nu de petitie ✍️,2021-01-22,2021-03-01,Greenpeace Nederland,50000,400,499,https://www.facebook.com/ads/library/?id=125962489372268,EUR
410099683549926,288295911466,Greenpeace Nederland,We zitten bijna op 80.000 handtekeningen voor een duurzaam klimaatbeleid. Nog 5.000 te gaan! Roep de overheid op om tot actie over te gaan. Het is nu of nooit!,steun.greenpeace.nl,Ik roep de overheid op om crisismaatregelen te nemen. Het moet en kán anders. Pak de oorzaak van extreem weer aan en ga voor duurzaamheid. Het is nu of nooit.,Jouw stem telt! Teken nu de petitie ✍️,2021-01-22,2021-03-02,Greenpeace Nederland,40000,400,499,https://www.facebook.com/ads/library/?id=410099683549926,EUR
1127612507709949,288295911466,Greenpeace Nederland,We zitten bijna op 80.000 handtekeningen voor een duurzaam klimaatbeleid. Nog 5.000 te gaan! Roep de overheid op om tot actie over te gaan. Het is nu of nooit!,steun.greenpeace.nl,Ik roep de overheid op om crisismaatregelen te nemen. Het moet en kán anders. Pak de oorzaak van extreem weer aan en ga voor duurzaamheid. Het is nu of nooit.,Jouw stem telt! Teken nu de petitie ✍️,2021-01-22,2021-03-01,Greenpeace Nederland,2000,0,99,https://www.facebook.com/ads/library/?id=1127612507709949,EUR
